time/fps,per/beta,_timestamp,rollout/ep_rew_mean,locals/num_collected_steps,global_step,trajectory/video,rollout/ep_len_mean,rollout/exploration_rate,_step,per/max_priority,train/loss,train/n_updates,locals/infos_0_lives,locals/rewards,eval/mean_ep_length,_runtime,time/_episode_num,locals/num_collected_episodes,eval/mean_reward,train/learning_rate,run
,,1780098497.3495092,,,49828.0,,,,273,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [1.9661990955585713, 2.1628190051144287]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098497.3496222,,,49828.0,,,,277,,,,,,,0.571954368,111.0,,,,Dueling DDQN+PER
,,1780098507.938573,,,50000.0,,,0.9723617,286,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098510.100222,15.91,,51486.0,,,,294,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098512.290805,,,53376.0,,,,302,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098512.2908762,15.97,,53376.0,,,,304,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098512.290891,,,53376.0,,,0.9704949,305,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098514.7323794,,,55488.0,,454.56,,313,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098516.774491,,,57250.0,,,,319,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098518.9101496,,4.0,59080.0,,,,331,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098518.9112964,,,59080.0,,,0.9673419,335,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098518.911323,,,59080.0,,,,336,,,,,,,0.571954368,131.0,,,,Dueling DDQN+PER
,,1780098520.7857354,,,60690.0,,456.04,,343,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098520.7857823,,,60690.0,,,,346,,,,,,,0.571954368,135.0,,,,Dueling DDQN+PER
,,1780098520.7858095,,,60690.0,,,,348,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098522.8933518,,,62516.0,,,,350,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098522.8943193,,,62516.0,,,,352,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098522.8944058,,,62516.0,,,0.96544254,355,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098524.7739456,,,64136.0,,,,360,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098524.7739618,,4.0,64136.0,,,,361,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098526.9341524,,,66010.0,,,,369,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098526.9353294,,,66010.0,,,,376,,,,,,,0.571954368,147.0,,,,Dueling DDQN+PER
,,1780098529.0565898,,,67850.0,,,,388,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
