eval/mean_ep_length,rollout/ep_len_mean,locals/num_collected_episodes,_timestamp,rollout/ep_rew_mean,train/loss,eval/mean_reward,time/fps,rollout/exploration_rate,_step,global_step,locals/num_collected_steps,train/learning_rate,train/n_updates,trajectory/video,locals/infos_0_lives,_runtime,locals/rewards,time/_episode_num,run
,,,1780165618.3533144,,,,,,249,44206.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,,1780165620.4828634,,,,862.0,,258,46062.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165622.4894812,15.86,,,,,265,47808.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165622.4895098,,,,,,267,47808.0,,,,,,0.577534736,,107.0,DDQN (baseline)
,,,1780165624.7974942,,,,,,272,49828.0,4.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165624.7983246,,,,,,273,49828.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [1.9661990955585713, 2.1628190051144287]}",,DDQN (baseline)
,,,1780165624.7984211,,,,,,277,49828.0,,,,,,0.577534736,,111.0,DDQN (baseline)
,,,1780165635.0188222,,,,,0.9723617,286,50000.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165637.113979,15.91,,,,,294,51486.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165639.2823648,,,,,,302,53376.0,,,,,,0.577534736,"{'values': [1], 'bins': [0, 1e-12], '_type': 'histogram'}",,DDQN (baseline)
,,,1780165639.2824423,15.97,,,,,304,53376.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165639.2824569,,,,,0.9704949,305,53376.0,,,,,,0.577534736,,,DDQN (baseline)
,454.56,,1780165641.7076757,,,,,,313,55488.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165641.7077513,,,,,,318,55488.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,,1780165643.791413,,,,,,319,57250.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165645.9617457,,,,,,331,59080.0,4.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165645.9630196,,,,,0.9673419,335,59080.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165645.963042,,,,,,336,59080.0,,,,,,0.577534736,,131.0,DDQN (baseline)
,,,1780165645.9630618,,,,749.0,,337,59080.0,,,,,,0.577534736,,,DDQN (baseline)
,456.04,,1780165647.8297746,,,,,,343,60690.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165647.8298378,,,,,,346,60690.0,,,,,,0.577534736,,135.0,DDQN (baseline)
,,,1780165647.829866,,,,,,348,60690.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165649.9391098,,,,,,350,62516.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165649.9401133,,,,,,352,62516.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780165649.9405518,,,,,0.96544254,355,62516.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165651.8124664,,,,,,360,64136.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165651.8124824,,,,,,361,64136.0,4.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165653.966104,,,,,,369,66010.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165653.9661603,,,,,,371,66010.0,2.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165653.967463,,,,,,376,66010.0,,,,,,0.577534736,,147.0,DDQN (baseline)
,,,1780165656.0893834,,,,,,388,67850.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,,1780165657.9501703,,,,,,389,69456.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165657.9510186,,,,,,392,69456.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780165657.9511056,15.94,,,,,394,69456.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165657.9511504,,,,,,396,69456.0,,,,,,0.577534736,,155.0,DDQN (baseline)
,,,1780165659.574018,,,,,0.9607749,405,70960.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165659.5740335,,,,,,406,70960.0,,,,,,0.577534736,,159.0,DDQN (baseline)
,,,1780165663.4184628,,,,,,426,74640.0,,,,,,0.577534736,,167.0,DDQN (baseline)
,,,1780165663.4184766,,,,774.0,,427,74640.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165665.1123207,16.2,,,,,434,76266.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165666.905561,,,,,,441,77992.0,4.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165666.906849,,,,,,446,77992.0,,,,,,0.577534736,,175.0,DDQN (baseline)
,,,1780165668.9813893,15.84,,,,,454,79978.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165668.981418,,,,,,456,79978.0,,,,,,0.577534736,,179.0,DDQN (baseline)
,,,1780165670.9572914,,,,,,459,81872.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165670.9586747,,,,,,462,81872.0,,,,,,0.577534736,"{'bins': [0, 1e-12], '_type': 'histogram', 'values': [1]}",,DDQN (baseline)
,,,1780165670.9587584,16.2,,,,,464,81872.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165670.9588008,,,,788.0,,467,81872.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165672.7005038,,,,,,469,83542.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165674.4189656,,,,,,481,85186.0,2.0,,,,,0.577534736,,,DDQN (baseline)
,446.1,,1780165676.3191042,,,,,,493,87012.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165676.3191228,16.09,,,,,494,87012.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165676.319169,,,,796.0,,497,87012.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165676.3191824,,,,,,498,87012.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165677.9073882,,,,,,500,88530.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165679.511013,,,,,,510,90062.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165679.5123708,15.87,,,,,514,90062.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165679.5124035,,,,,,516,90062.0,,,,,,0.577534736,,203.0,DDQN (baseline)
,,,1780165681.1325388,,,,,0.94936997,525,91592.0,,,,,,0.577534736,,,DDQN (baseline)
,433.95,,1780165682.8398137,,,,,,533,93223.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165682.839862,,,,,0.9484684,535,93223.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165684.5961232,15.73,,,,,544,94885.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165684.596208,,,,,,548,94885.0,,,0.0,,,0.577534736,,,DDQN (baseline)
,,,1780165686.2942395,,,,,,551,96513.0,1.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165688.2108557,,,,,,559,98365.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,426.73,,1780165689.8400056,,,,,,573,99923.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165698.915787,,,,,,581,100000.0,,,,,4.0,0.577534736,,,DDQN (baseline)
,,,1780165698.9158156,,,,,,583,100000.0,3.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165707.35844,,,,,,588,101413.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,423.33,,1780165707.3593907,,,,,,592,101413.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165707.3594522,,,,722.0,,596,101413.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165707.3594792,,0.007996085,,,,598,101413.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165716.859623,,,,,,607,103178.0,,,,,,0.577534736,,235.0,DDQN (baseline)
,,,1780165716.8596368,,,,688.0,,608,103178.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165725.826768,,,,,,613,104860.0,,,,,,0.577534736,,,DDQN (baseline)
,423.44,,1780165725.827777,,,,,,616,104860.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165725.82781,,,,,0.94203573,618,104860.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165725.8278394,,,,660.0,,620,104860.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165725.827853,,,,,,621,104860.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,,1780165736.0092633,,,,,,624,106752.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,0.0,1780165736.009311,,,,,,625,106752.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165736.010455,16.91,,,,,629,106752.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165736.010498,,,,,,631,106752.0,,,,,,0.577534736,,243.0,DDQN (baseline)
,,,1780165736.0105388,,,,,,633,106752.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,,1780165736.0105577,,0.0215896,,,,634,106752.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165744.649877,,,,,0.9400977,642,108366.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165744.6499283,,,,610.0,,644,108366.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165744.649943,,,,,,645,108366.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,,1780165744.6503725,,,,,,647,108366.0,,,2091.0,,,0.577534736,,,DDQN (baseline)
,,,1780165754.9788504,,,,,,648,110262.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,0.0,1780165754.9788935,,,,,,649,110262.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165754.9798822,,,,,,651,110262.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,0.0,1780165763.6172426,,,,,,661,111862.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165763.6172583,,,,,,662,111862.0,2.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165763.6181746,,,,,0.9381652,666,111862.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165763.6182294,,0.0035571204,,,,670,111862.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165771.9906383,,,,,,674,113402.0,2.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165771.9915764,,,,553.0,,680,113402.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165783.2910233,,,,,,685,115478.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165783.2920682,,,,,,687,115478.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780165783.292178,,,,,,691,115478.0,,,,,,0.577534736,,263.0,DDQN (baseline)
,,,1780165783.292217,,0.015427456,,,,694,115478.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165792.7030523,16.15,,,,,701,117214.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165803.7871797,,,,,0.9340757,714,119260.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165803.7872636,,0.042982597,,,,718,119260.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165812.7442367,,,,,,721,120926.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165821.3510027,,,,,,733,122504.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165832.65035,,,,,,744,124536.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165832.6517124,,,,,,751,124536.0,,,,,,0.577534736,,283.0,DDQN (baseline)
,,,1780165832.651759,,,,,,753,124536.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,,1780165832.6517763,,0.038791858,,,,754,124536.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165841.3197842,,,,,,757,126130.0,,,,,,0.577534736,,,DDQN (baseline)
,425.88,,1780165841.3206887,,,,,,760,126130.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165851.153992,,,,,,769,127938.0,,,,,,0.577534736,,,DDQN (baseline)
,427.52,,1780165851.154683,,,,,,772,127938.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165851.1547012,16.61,,,,,773,127938.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165851.154731,,,,,,775,127938.0,,,,,,0.577534736,,291.0,DDQN (baseline)
,,,1780165859.6919932,,0.026011638,,,,790,129546.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165869.1997893,,,,,,801,131304.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,,1780165878.4501579,,,,,,804,132958.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165878.451373,,,,,,807,132958.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,0.0,1780165889.2865424,,,,,,817,134926.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165908.7998,,,,405.0,,848,138490.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165908.7998257,,0.025149949,,,,850,138490.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165918.0490646,17.34,,,,,857,140178.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165918.0495527,,,,,,863,140178.0,,,10044.0,,,0.577534736,,,DDQN (baseline)
,,,1780165928.1581087,,,,,,867,142048.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780165928.1582608,,,,,,875,142048.0,,,10511.0,,,0.577534736,,,DDQN (baseline)
,,,1780165936.9345222,,,,,,876,143662.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780165936.9345775,,,,,,878,143662.0,2.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780165936.936009,15.95,,,,,881,143662.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165947.2598126,,,,,,895,145536.0,,,,,,0.577534736,,331.0,DDQN (baseline)
,,,1780165959.1817482,,,,,,909,147722.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165968.946081,,,,,,913,149502.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165968.947396,,,,,,919,149502.0,,,,,,0.577534736,,339.0,DDQN (baseline)
,,,1780165968.9474175,,,,372.0,,920,149502.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165968.9474382,,,,,,921,149502.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
625.2,,,1780165985.2647407,,,,,,924,150000.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780165985.264811,,,,,,927,150000.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165993.1459851,,,,,,937,151305.0,1.0,,,,,0.577534736,,,DDQN (baseline)
,445.53,,1780165993.146984,,,,,,939,151305.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165993.1470704,,0.035690643,,,,945,151305.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780165993.1470928,,,,,,946,151305.0,,,12826.0,,,0.577534736,,,DDQN (baseline)
,,,1780166002.5854566,,,,,,947,153041.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780166002.5863886,,,,,,954,153041.0,,,,,,0.577534736,,347.0,DDQN (baseline)
,,,1780166002.5864012,,,,351.0,,955,153041.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166002.5864139,,,,,,956,153041.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
