_step,eval/mean_reward,train/n_updates,train/learning_rate,locals/rewards,_timestamp,rollout/ep_len_mean,locals/infos_0_lives,locals/num_collected_steps,global_step,eval/mean_ep_length,train/loss,time/_episode_num,rollout/ep_rew_mean,locals/num_collected_episodes,_runtime,trajectory/video,rollout/exploration_rate,time/fps,run
202,,,,,1780166703.2477016,,,2.0,37382.0,,,,,,0.593633398,,,,Dueling DDQN
211,,,,,1780166705.0958486,,,,38982.0,,,,,0.0,0.593633398,,,,Dueling DDQN
213,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166705.0968568,,,,38982.0,,,,,,0.593633398,,,,Dueling DDQN
222,,,,,1780166707.0570242,,,2.0,40666.0,,,,,,0.593633398,,,,Dueling DDQN
224,,,,,1780166707.0580142,442.02173,,,40666.0,,,,,,0.593633398,,,,Dueling DDQN
226,,,,,1780166707.0580456,,,,40666.0,,,,,,0.593633398,,0.97752076,,Dueling DDQN
227,,,,,1780166707.0580597,,,,40666.0,,,91.0,,,0.593633398,,,,Dueling DDQN
229,,0.0,,,1780166707.0580864,,,,40666.0,,,,,,0.593633398,,,,Dueling DDQN
233,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166709.0734675,,,,42402.0,,,,,,0.593633398,,,,Dueling DDQN
234,,,,,1780166709.0735373,441.6875,,,42402.0,,,,,,0.593633398,,,,Dueling DDQN
237,,,,,1780166709.0736203,,,,42402.0,,,95.0,,,0.593633398,,,,Dueling DDQN
240,,,,,1780166711.1639636,,0.0,,44206.0,,,,,,0.593633398,,,,Dueling DDQN
249,,0.0,,,1780166711.1656866,,,,44206.0,,,,,,0.593633398,,,,Dueling DDQN
253,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166713.3374505,,,,46062.0,,,,,,0.593633398,,,,Dueling DDQN
254,,,,,1780166713.3377192,443.06,,,46062.0,,,,,,0.593633398,,,,Dueling DDQN
255,,,,,1780166713.3377438,,,,46062.0,,,,15.74,,0.593633398,,,,Dueling DDQN
258,,,,,1780166713.337788,,,,46062.0,,,,,,0.593633398,,,858.0,Dueling DDQN
265,,,,,1780166715.4010959,,,,47808.0,,,,15.86,,0.593633398,,,,Dueling DDQN
267,,,,,1780166715.4011357,,,,47808.0,,,107.0,,,0.593633398,,,,Dueling DDQN
272,,,,,1780166717.7369208,,,4.0,49828.0,,,,,,0.593633398,,,,Dueling DDQN
273,,,,"{'_type': 'histogram', 'values': [1], 'bins': [1.9661990955585713, 2.1628190051144287]}",1780166717.738004,,,,49828.0,,,,,,0.593633398,,,,Dueling DDQN
277,,,,,1780166717.7381482,,,,49828.0,,,111.0,,,0.593633398,,,,Dueling DDQN
283,,,,,1780166728.8299968,,,,50000.0,,,,,0.0,0.593633398,,,,Dueling DDQN
286,,,,,1780166728.8313687,,,,50000.0,,,,,,0.593633398,,0.9723617,,Dueling DDQN
289,,,,,1780166730.9603455,,0.0,,51486.0,,,,,,0.593633398,,,,Dueling DDQN
294,,,,,1780166730.96143,,,,51486.0,,,,15.91,,0.593633398,,,,Dueling DDQN
302,,,,"{'bins': [0, 1e-12], '_type': 'histogram', 'values': [1]}",1780166733.146314,,,,53376.0,,,,,,0.593633398,,,,Dueling DDQN
304,,,,,1780166733.1464,,,,53376.0,,,,15.97,,0.593633398,,,,Dueling DDQN
305,,,,,1780166733.1464179,,,,53376.0,,,,,,0.593633398,,0.9704949,,Dueling DDQN
309,,,,,1780166735.5812368,,0.0,,55488.0,,,,,,0.593633398,,,,Dueling DDQN
313,,,,,1780166735.5826066,454.56,,,55488.0,,,,,,0.593633398,,,,Dueling DDQN
315,,,,,1780166735.5826435,,,,55488.0,,,,,,0.593633398,,0.96932745,,Dueling DDQN
318,,0.0,,,1780166735.5827174,,,,55488.0,,,,,,0.593633398,,,,Dueling DDQN
319,,,,,1780166737.834593,,0.0,,57250.0,,,,,,0.593633398,,,,Dueling DDQN
322,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166737.8354158,,,,57250.0,,,,,,0.593633398,,,,Dueling DDQN
331,,,,,1780166739.9893236,,,4.0,59080.0,,,,,,0.593633398,,,,Dueling DDQN
332,,,,"{'values': [1], 'bins': [0, 1e-12], '_type': 'histogram'}",1780166739.9904606,,,,59080.0,,,,,,0.593633398,,,,Dueling DDQN
333,,,,,1780166739.990532,455.5,,,59080.0,,,,,,0.593633398,,,,Dueling DDQN
335,,,,,1780166739.99058,,,,59080.0,,,,,,0.593633398,,0.9673419,,Dueling DDQN
336,,,,,1780166739.9905953,,,,59080.0,,,131.0,,,0.593633398,,,,Dueling DDQN
337,,,,,1780166739.9906166,,,,59080.0,,,,,,0.593633398,,,735.0,Dueling DDQN
343,,,,,1780166741.8852239,456.04,,,60690.0,,,,,,0.593633398,,,,Dueling DDQN
346,,,,,1780166741.885271,,,,60690.0,,,135.0,,,0.593633398,,,,Dueling DDQN
348,,0.0,,,1780166741.8852978,,,,60690.0,,,,,,0.593633398,,,,Dueling DDQN
350,,,,,1780166743.986195,,,,62516.0,,,,,0.0,0.593633398,,,,Dueling DDQN
352,,,,"{'bins': [0, 1e-12], '_type': 'histogram', 'values': [1]}",1780166743.9869435,,,,62516.0,,,,,,0.593633398,,,,Dueling DDQN
355,,,,,1780166743.9870245,,,,62516.0,,,,,,0.593633398,,0.96544254,,Dueling DDQN
360,,,,,1780166745.863868,,,,64136.0,,,,,0.0,0.593633398,,,,Dueling DDQN
361,,,,,1780166745.8638837,,,4.0,64136.0,,,,,,0.593633398,,,,Dueling DDQN
367,,,,,1780166745.8649626,,,,64136.0,,,,,,0.593633398,,,744.0,Dueling DDQN
369,,,,,1780166748.0305405,,0.0,,66010.0,,,,,,0.593633398,,,,Dueling DDQN
371,,,,,1780166748.0306025,,,2.0,66010.0,,,,,,0.593633398,,,,Dueling DDQN
376,,,,,1780166748.0317283,,,,66010.0,,,147.0,,,0.593633398,,,,Dueling DDQN
388,,0.0,,,1780166750.1687982,,,,67850.0,,,,,,0.593633398,,,,Dueling DDQN
389,,,,,1780166752.049067,,0.0,,69456.0,,,,,,0.593633398,,,,Dueling DDQN
392,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166752.05019,,,,69456.0,,,,,,0.593633398,,,,Dueling DDQN
394,,,,,1780166752.0503235,,,,69456.0,,,,15.94,,0.593633398,,,,Dueling DDQN
396,,,,,1780166752.050352,,,,69456.0,,,155.0,,,0.593633398,,,,Dueling DDQN
400,,,,,1780166753.7335339,,,,70960.0,,,,,0.0,0.593633398,,,,Dueling DDQN
405,,,,,1780166753.7350302,,,,70960.0,,,,,,0.593633398,,0.9607749,,Dueling DDQN
406,,,,,1780166753.7350442,,,,70960.0,,,159.0,,,0.593633398,,,,Dueling DDQN
423,,,,,1780166757.610144,443.24,,,74640.0,,,,,,0.593633398,,,,Dueling DDQN
426,,,,,1780166757.610189,,,,74640.0,,,167.0,,,0.593633398,,,,Dueling DDQN
427,,,,,1780166757.610203,,,,74640.0,,,,,,0.593633398,,,762.0,Dueling DDQN
428,,0.0,,,1780166757.6102166,,,,74640.0,,,,,,0.593633398,,,,Dueling DDQN
434,,,,,1780166759.3081021,,,,76266.0,,,,16.2,,0.593633398,,,,Dueling DDQN
441,,,,,1780166761.1127114,,,4.0,77992.0,,,,,,0.593633398,,,,Dueling DDQN
445,,,,,1780166761.1141307,,,,77992.0,,,,,,0.593633398,,0.9568878,,Dueling DDQN
446,,,,,1780166761.1141443,,,,77992.0,,,175.0,,,0.593633398,,,,Dueling DDQN
454,,,,,1780166763.1895719,,,,79978.0,,,,15.84,,0.593633398,,,,Dueling DDQN
456,,,,,1780166763.1896007,,,,79978.0,,,179.0,,,0.593633398,,,,Dueling DDQN
459,,,,,1780166765.1766787,,0.0,,81872.0,,,,,,0.593633398,,,,Dueling DDQN
462,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166765.1779008,,,,81872.0,,,,,,0.593633398,,,,Dueling DDQN
464,,,,,1780166765.1779766,,,,81872.0,,,,16.2,,0.593633398,,,,Dueling DDQN
467,,,,,1780166765.1780214,,,,81872.0,,,,,,0.593633398,,,776.0,Dueling DDQN
469,,,,,1780166766.9297743,,0.0,,83542.0,,,,,,0.593633398,,,,Dueling DDQN
481,,,,,1780166768.6801279,,,2.0,85186.0,,,,,,0.593633398,,,,Dueling DDQN
491,,,,,1780166770.58776,,,4.0,87012.0,,,,,,0.593633398,,,,Dueling DDQN
493,,,,,1780166770.5889447,446.1,,,87012.0,,,,,,0.593633398,,,,Dueling DDQN
494,,,,,1780166770.5889826,,,,87012.0,,,,16.09,,0.593633398,,,,Dueling DDQN
497,,,,,1780166770.5890515,,,,87012.0,,,,,,0.593633398,,,784.0,Dueling DDQN
498,,0.0,,,1780166770.5890722,,,,87012.0,,,,,,0.593633398,,,,Dueling DDQN
500,,,,,1780166772.1948123,,,,88530.0,,,,,0.0,0.593633398,,,,Dueling DDQN
501,,,,,1780166772.1948285,,,2.0,88530.0,,,,,,0.593633398,,,,Dueling DDQN
510,,,,,1780166773.8119123,,,,90062.0,,,,,0.0,0.593633398,,,,Dueling DDQN
514,,,,,1780166773.8129747,,,,90062.0,,,,15.87,,0.593633398,,,,Dueling DDQN
516,,,,,1780166773.8130047,,,,90062.0,,,203.0,,,0.593633398,,,,Dueling DDQN
525,,,,,1780166775.4301744,,,,91592.0,,,,,,0.593633398,,0.94936997,,Dueling DDQN
529,,,,,1780166777.1445904,,0.0,,93223.0,,,,,,0.593633398,,,,Dueling DDQN
530,,,,,1780166777.1446264,,,,93223.0,,,,,0.0,0.593633398,,,,Dueling DDQN
531,,,,,1780166777.1446419,,,3.0,93223.0,,,,,,0.593633398,,,,Dueling DDQN
533,,,,,1780166777.145854,433.95,,,93223.0,,,,,,0.593633398,,,,Dueling DDQN
535,,,,,1780166777.1458983,,,,93223.0,,,,,,0.593633398,,0.9484684,,Dueling DDQN
544,,,,,1780166778.9056647,,,,94885.0,,,,15.73,,0.593633398,,,,Dueling DDQN
548,,0.0,,,1780166778.9057217,,,,94885.0,,,,,,0.593633398,,,,Dueling DDQN
551,,,,,1780166780.6278129,,,1.0,96513.0,,,,,,0.593633398,,,,Dueling DDQN
559,,,,,1780166782.5629106,,0.0,,98365.0,,,,,,0.593633398,,,,Dueling DDQN
573,,,,,1780166784.212016,426.73,,,99923.0,,,,,,0.593633398,,,,Dueling DDQN
581,,,,,1780166794.2203405,,4.0,,100000.0,,,,,,0.593633398,,,,Dueling DDQN
583,,,,,1780166794.2203681,,,3.0,100000.0,,,,,,0.593633398,,,,Dueling DDQN
588,,,,,1780166803.089711,,0.0,,101481.0,,,,,,0.593633398,,,,Dueling DDQN
590,,,,,1780166803.0897648,,,1.0,101481.0,,,,,,0.593633398,,,,Dueling DDQN
592,,,,,1780166803.0904818,424.01,,,101481.0,,,,,,0.593633398,,,,Dueling DDQN
596,,,,,1780166803.090543,,,,101481.0,,,,,,0.593633398,,,707.0,Dueling DDQN
598,,,,,1780166803.0905695,,,,101481.0,,0.007781356,,,,0.593633398,,,,Dueling DDQN
602,,,,,1780166812.5018878,,,3.0,103199.0,,,,,,0.593633398,,,,Dueling DDQN
607,,,,,1780166812.5033376,,,,103199.0,,,235.0,,,0.593633398,,,,Dueling DDQN
608,,,,,1780166812.503352,,,,103199.0,,,,,,0.593633398,,,675.0,Dueling DDQN
613,,,,,1780166823.0386128,,,,105135.0,,,,,0.0,0.593633398,,,,Dueling DDQN
616,,,,,1780166823.039854,426.19,,,105135.0,,,,,,0.593633398,,,,Dueling DDQN
618,,,,,1780166823.039888,,,,105135.0,,,,,,0.593633398,,0.9418837,,Dueling DDQN
620,,,,,1780166823.0399191,,,,105135.0,,,,,,0.593633398,,,643.0,Dueling DDQN
621,,,5e-05,,1780166823.039933,,,,105135.0,,,,,,0.593633398,,,,Dueling DDQN
624,,,,,1780166833.461505,,0.0,,107053.0,,,,,,0.593633398,,,,Dueling DDQN
